AIR TEMP,RELATIVE HUMIDITY,SOIL TEMP,WIND SPEED,WIND MAGNITUDE,WIND DIRECTION,WIND SD,RAD FLUX,PRECIP
37.1,100,35.8,8.4,8.3,162,9.6,125.6,0
37.7,100,36.6,7.7,7.6,152,10.7,118.8,0
38,100,37.4,8.8,8.6,148,10.6,125.7,0
37.9,100,38,9.1,9,149,10.7,85.7,0
37.8,100,38.4,9.6,9.4,142,11.2,58.8,0
37.2,100,38.5,10.3,10.1,139,10.9,19.7,0
36.3,100,38.4,10.6,10.3,139,11.9,0.2,0
35,100,38.1,11.6,11.4,138,10.6,0,0
33.9,100,37.7,12.6,12.4,145,10.9,0,0
33.1,100,37.3,11.7,11.5,145,11,0,0
32.9,100,36.8,12.7,12.5,143,10.3,0,0
32.9,100,36.5,14.1,14,151,9,0,0
32.9,100,36.2,15.3,15.1,155,8.1,0,0
32.7,100,35.9,16.4,16.3,161,8.6,0,0
32.6,100,35.7,15.8,15.7,164,7.8,0,0
31.9,100,35.5,15.5,15.3,163,8,0,0
31.5,100,35.3,13.2,13,170,9.1,0,0
31.3,100,35,13.4,13.3,180,7.8,0,0
31.2,100,34.8,9.9,9,187,24,0,0
31.6,100,34.7,12.3,12.1,182,8.7,0,0
31.7,100,34.6,12.5,12.4,181,8.1,0,0
31.8,100,34.5,13.1,13,185,7.9,9.9,0
32.7,100,34.5,13.2,13,191,9,50.3,0
34.1,100,34.8,13.5,13.4,196,8.5,99.2,0
36,100,35.4,13,12.9,205,8.8,133.1,0
37.9,99.9,36.2,10.4,10.2,222,12.1,145.3,0
41.4,92.6,37.1,9.4,9.1,228,13.3,272.9,0
46.1,80.2,38.5,8.9,8.7,230,12.9,425.8,0
50,70.6,40.4,7.4,7.1,210,14.9,316.7,0
51.7,66.5,41.9,5.5,5.4,224,11.8,173.7,0
48.8,73.4,42.1,4.2,4,176,16,31.7,0
40.9,85.8,41.4,4.5,4.3,165,17.8,0,0
36.4,93,40.4,4.1,3.5,203,30.5,0,0
37.4,93.8,39.4,3.7,3.2,253,28,0,0
36.9,93.2,38.6,6.3,4.4,290,44,0,0
41,88.2,38,8,7.5,8,21,0,0
39.3,87,37.5,8,7.7,355,14.2,0,0
36.5,90.5,37.1,10.2,10.1,354,9.4,0,0
36.7,85.7,36.5,15.5,15.3,347,8,0,0
35.4,83,36.2,15.8,15.5,355,9.7,0,0
31.9,84.6,35.9,14.6,14.3,351,11.1,0,0
29.8,81,35.5,16.3,16.1,346,9.1,0,0
28,75,35.1,18.8,18.6,349,8.3,0,0
27.6,75,34.8,19.8,19.6,346,7.5,0,0
26.7,75.1,34.5,20.5,20.2,349,9.6,0.9,0
26.1,74.1,34.3,19,18.8,351,8.5,57.6,0
28.6,68.5,34.1,17.9,17.7,352,9.6,313.2,0
29.5,65.2,33.9,19.8,19.6,348,8.9,404.7,0
30.9,62.2,33.8,19.4,19.2,347,10,500.2,0
32.6,58.5,34.4,18.3,18,344,9.7,539.6,0
34.4,55.4,36.1,15.8,15.4,339,12.4,521.7,0
36,52.1,37.9,14.4,14.1,334,11.9,450.7,0
37.6,48.3,39.2,13.2,13,340,10.2,336,0
37.7,48,39.7,11.2,11,337,9.3,189.6,0
35.5,56,39.1,8,7.9,339,10.1,39.1,0
29.3,73.1,37.9,2.7,2.4,338,24.5,0,0
27.8,78.2,36.8,1.5,1.1,358,40.8,0,0
26.4,81.7,36,3.3,3.1,23,17.5,0,0
27.1,80.6,35.4,3.7,3.6,1,17.4,0,0
27.5,77.6,35,7.9,7.5,22,17.3,0,0
26.8,70.1,34.6,10.3,9.8,21,18.7,0,0
24.4,70.6,34.3,10.4,9.6,14,21.6,0,0
20.2,74.9,34.1,12.4,12,27,15.3,0,0
16.2,78.6,33.9,11,10.5,23,17.4,0,0
12.2,76.8,33.7,8.6,8.3,22,16.5,0,0
10.1,69.7,33.4,7.7,7.3,8,19.4,0,0
9.3,69.3,33.2,7.1,6.6,15,20.8,0,0
8.9,70.7,33,6.5,6.2,21,18.4,0,0
8.8,68.5,32.8,7.5,7.2,28,15.4,0.6,0
9.2,68.9,32.7,6.1,5.8,34,18.5,22.6,0
9.9,65.7,32.6,4.1,3.7,57,25.8,70.1,0
11.2,63.2,32.5,3.6,2.8,91,38.3,124,0
13.4,62.8,32.4,5.7,5.1,126,24.9,213.8,0
15.4,59.6,32.4,7,6.5,145,21.6,239.7,0
18.1,55.4,32.4,8.9,8.6,164,15,352.2,0
20.3,51.6,32.4,11.2,10.9,167,12.9,321.8,0
21.8,50,32.4,12.5,12.1,167,13.6,248.2,0
22.8,48.9,32.4,13,12.8,170,10.5,179.2,0
22.4,50.7,32.3,12.6,12.4,176,9.7,28.9,0
22.4,53.4,32.3,10.9,10.8,173,8.7,0,0
22.5,54.8,32.3,10.5,10.5,168,7.4,0,0
21.6,58.8,32.3,9.6,9.5,164,7.1,0,0
20,65.6,32.3,8.9,8.8,165,7.8,0,0
18.6,74,32.2,7.4,7.4,167,7.4,0,0
18.6,75.2,32.2,7.5,7.5,164,8.8,0,0
18.5,76.5,32.1,6.8,6.7,174,8,0,0
17.3,81.1,32.1,3.8,3.7,184,9.4,0,0
16.5,85.4,32,3.4,3.3,198,9.7,0,0
15.7,87.2,31.9,2.6,2.4,214,21.8,0,0
16.8,86.3,31.9,4.9,4.8,206,8.4,0,0
19,83.3,31.8,5.9,5.8,225,11.7,0,0
18.9,83.2,31.8,5.2,5,252,14.8,0,0
20.6,84.6,31.7,6,5.9,289,10,1.5,0
27.4,80.4,31.6,8.1,8,310,9.8,38.3,0
33.7,73.6,31.6,9.1,9,316,10.1,176,0
39.7,62.9,31.6,10.8,10.6,324,10.1,267.5,0
43.3,58.5,31.7,11.3,11.1,316,10.1,258.6,0
47.5,52.7,31.7,13.7,13.4,321,11.9,473.1,0
51.6,47,31.7,13.1,12.7,318,14.4,515.7,0
55,41.7,31.8,15.2,15,330,9.5,448.1,0
57,37.8,31.8,13.9,13.7,335,10.1,336,0
56.4,39.5,31.8,9.8,9.6,322,10.7,191.6,0
53.6,43.6,31.8,3.5,3.2,292,23.2,42.9,0
46.2,54.5,31.8,4.1,4,244,8.4,0,0
37.5,68.9,31.8,4.6,4.5,247,12.1,0,0
35.4,73.7,31.8,4.9,4.7,256,15.6,0,0
35.2,74.2,31.8,6.3,6.2,247,8.4,0,0
34.9,75.6,31.8,7.5,7.4,245,8.5,0,0
36.8,73.2,31.8,7.9,7.8,241,8.6,0,0
36.6,73.8,31.9,7.3,6.5,253,26.7,0,0
38.8,71.7,31.9,5.4,4.9,305,25.2,0,0
37.5,73.3,31.9,6.1,5.5,290,26.3,0,0
33.2,84,31.9,7.4,7.2,320,13.5,0,0
30.6,91.4,31.9,6.7,6.6,337,10.3,0,0
28.5,93.6,31.9,5.5,5.3,324,16.1,0,0
30,88.3,31.9,5.9,5.5,14,20.8,0,0
29.9,85,32,8.5,8.2,26,14,3.2,0
29.8,87.2,32,12.6,12.2,35,15.7,16.3,0
27.9,86.2,32,15.1,14.6,44,15.7,42.6,0
25.9,75.5,32,15.1,14.6,40,15.2,193.4,0
24.7,71,32,13.8,13.2,38,16.1,295.8,0
24.6,49.2,32,16,15.3,43,17,494.2,0
23.7,41.3,32,14.4,13.8,43,16.6,459.2,0
23.7,37.2,32.1,13.7,13.1,44,15.8,352.2,0
22.1,35.9,32.2,14.1,13.7,52,12.3,208.3,0
21.8,37.9,32.4,12.4,12.1,53,12.7,131.5,0
20.2,39.6,32.4,12.3,11.9,57,14.5,24.6,0
18.6,42.8,32.4,11.8,11.4,57,15.5,0,0
17.5,45.3,32.5,9.2,8.5,77,22.8,0,0
16.5,50.6,32.4,8.6,8.2,85,17.7,0,0
16.2,55,32.4,8.4,8,87,16.5,0,0
15.9,57.5,32.4,8.3,7.7,66,22.1,0,0
16,59.4,32.4,7,6.6,84,20.8,0,0
15.9,59,32.3,6.9,6.6,99,14.2,0,0
15.2,61.7,32.3,6.9,6.5,90,18.8,0,0
14.5,64.3,32.3,6.7,6.2,74,22.6,0,0
13.7,66.2,32.2,8,7.6,88,18.5,0,0
12.3,69.2,32.2,7.5,7.2,89,16,0,0
12.1,69.9,32.1,9,8.7,92,15.7,0,0
12.3,68.8,32.1,9.1,8.7,103,16.1,0,0
12.1,67.4,32,8.3,8,109,16.3,0,0
12.4,67,32,7.6,7.3,109,16,3.3,0
12.9,66.6,31.9,8.2,7.7,114,19.3,27.1,0
13.5,65.6,31.9,7.2,6.8,119,18.9,59.6,0
14.1,63.4,31.9,6.7,6.3,124,20,82.6,0
14.7,62.4,31.8,4.9,4.4,123,24.6,95.2,0
15.5,61.3,31.8,5.1,4.6,141,23.9,123.1,0
16.3,58.2,31.8,2.8,1.7,173,49.8,117,0
17.4,56.1,31.8,4.1,3.5,11,30.9,73.9,0
18.2,54.6,31.8,4.4,3.9,26,26.9,52.2,0
18.2,54.2,31.8,3.3,3,60,25.4,9.4,0
17.8,56.3,31.8,3.6,3.3,81,23.5,0,0
17.5,60.5,31.7,3.4,3.3,126,16.9,0,0
17.5,60,31.7,5,4.7,150,18,0,0
17,61.4,31.6,6,5.9,163,8.3,0,0
16.6,63.5,31.6,5.2,5.2,172,8.8,0,0
16.4,65.8,31.5,4.7,4.6,186,12.4,0,0
16.4,66.9,31.4,5.2,5.1,196,9.9,0,0
16,71.8,31.3,3.2,3.1,198,19.1,0,0
15.7,76.8,31.1,4.4,4.3,186,8.4,0,0
15,80.8,31,3.1,3,198,13.4,0,0
14.3,85.5,30.9,2.9,2.9,191,7,0,0
14.9,84.6,30.7,3.2,3.1,188,13.4,0,0
15.8,83,30.6,3.3,3.3,209,9.6,0,0
14.6,87,30.5,4.4,4.3,214,10.1,3.4,0
18.8,79.8,30.4,4.6,4.2,233,24.7,102.4,0
24.7,70.7,30.6,7.7,7.6,317,11.1,131.8,0
28.5,65.1,30.9,6.7,6.5,334,12.4,171.9,0
33.7,55.7,31.1,6,5.6,353,20.3,373.7,0
