,day,n,ML_generic,Lower_CI_generic,Upper_CI_generic,ML_resistant,Lower_CI_res,Upper_CI_res,set
1,0,20,1.0231373,-0.66838909,3.53,-0.291813756,-0.971029812,3.62,pen_floor
2,14,20,3.04,-0.962515127,4.4,0.65,-0.996713045,4.43,pen_floor
3,36,20,5.59,4.38,6.88,5.385,3.85,6.93,pen_floor
4,84,20,5.895,4,6.78,5.165,3.6,6.21,pen_floor
5,126,20,6.405,5.98,7.87,5.49,5.12,6.69,pen_floor
6,0,149,5.423024352,-0.583314722,6.248039576,3.510979522,-3.852391343,6.213553651,cattle
7,14,117,4.187673132,-1.568201724,5.903822974,1.033858267,-3.549770572,6.049322811,cattle
8,36,115,5.264307189,-0.805073282,7.332165405,4.044582133,1.082105799,6.855862801,cattle
9,84,113,6.738223303,4.431798276,7.135089654,5.815613642,3.334888263,6.176091259,cattle
10,126,112,7.64853918,6.217128111,8.156074146,6.573248049,4.908919531,7.172160965,cattle
